params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",25.859999999999673,100,-0.1025634941016589,-0.10231798835867995,-0.10882352941176468,-0.10000000000000002,0.0017392952767748759
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",24.340000000000146,100,-0.10281427277613903,-0.10242272075127168,-0.10750000000000001,-0.10000000000000002,0.0015273034623314212
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",22.210000000000036,100,-0.10142290607382823,-0.1012044485157301,-0.10676691729323307,-0.10000000000000002,0.001526825398592482
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.649999999999636,100,-0.10498892163728991,-0.10415706605222735,-0.128125,-0.1011056511056511,0.0034974988574161202
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",15.75,100,-0.10823405350010376,-0.10705893208661418,-0.13000000000000003,-0.10121457489878542,0.005349342457160624
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.240000000000691,100,-0.128842884244216,-0.11500416782439565,-0.27999999999999997,-0.10319148936170211,0.03717839740056971
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",30.169999999999163,100,-0.1013604640093714,-0.10092219307450159,-0.1176470588235294,-0.10000000000000002,0.002355247595919538
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",31.890000000000327,100,-0.10040068341352257,-0.10000000000000002,-0.10416666666666667,-0.10000000000000002,0.0008946771447237256
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",28.88000000000011,100,-0.10088141452587865,-0.10000000000000002,-0.10810810810810809,-0.10000000000000002,0.0013622534023341386
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",25.970000000000255,100,-0.1016306652252878,-0.1013024847530326,-0.1115384615384615,-0.10000000000000002,0.0017510847852080325
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",24.840000000000146,100,-0.10197741697618076,-0.1016854227834264,-0.10769230769230768,-0.10000000000000002,0.001631834166508788
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",23.56999999999971,100,-0.10317249835940386,-0.10277355695264866,-0.10978260869565215,-0.10108043217286915,0.001673061066697995
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",22.340000000000146,100,-0.10390808178144006,-0.10348163778396337,-0.11216216216216215,-0.10000000000000002,0.0025314150998193047
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.420000000000073,100,-0.10244030999846196,-0.10175097276264594,-0.11475409836065571,-0.10000000000000002,0.0022918202082202843
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",15.38000000000011,100,-0.10776373224970259,-0.10700399709302327,-0.12093023255813952,-0.10182555780933064,0.003969994019878642
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",11.159999999999854,100,-0.1167319534616702,-0.11333406496927126,-0.1642857142857143,-0.1034351145038168,0.011790067309238117
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",29.61999999999989,100,-0.10247142166987254,-0.10145437708681135,-0.1230769230769231,-0.10000000000000002,0.0034115535189282826
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",29.51000000000022,100,-0.10059505592039898,-0.10000000000000002,-0.10362903225806452,-0.10000000000000002,0.0008476827556587405
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",26.169999999999163,100,-0.10012241004363814,-0.10000000000000002,-0.1025352112676056,-0.10000000000000002,0.00043962114081979307
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",24.99000000000069,100,-0.10232629522645147,-0.10218451749734889,-0.10825688073394495,-0.10000000000000002,0.0013833164385431127
