steps,time,reward,delta,converged
189,0.0,-0.11363636363636354,1.0,False
190,0.0,-0.14090909090909093,1.0,False
191,0.0,-0.12045454545454547,1.0,False
192,0.0,-0.17499999999999996,1.0,False
193,0.009999999999308784,-0.11199999999999986,1.0,False
194,0.010000000000218279,-0.11730769230769227,1.0,False
195,0.0,-0.13103448275862073,1.0,False
196,0.0,-0.14736842105263162,1.0,False
197,0.010000000000218279,-0.11451612903225797,1.0,False
198,0.010000000000218279,-0.1074380165289254,1.0,False
199,0.0,-0.16000000000000003,1.0,False
200,0.0,-0.16000000000000003,1.0,False
201,0.0,-0.11343283582089542,1.0,False
202,0.0,-0.15625,1.0,False
203,0.0,-0.1140624999999999,1.0,False
204,0.010000000000218279,-0.10666666666666644,1.0,False
205,0.0,-0.13214285714285717,1.0,False
206,0.0,-0.16923076923076924,1.0,False
207,0.0,-0.10989010989010971,1.0,False
208,0.010000000000218279,-0.11451612903225797,1.0,False
209,0.0,-0.13333333333333336,1.0,False
210,0.010000000000218279,-0.16923076923076924,1.0,False
211,0.0,-0.15294117647058827,1.0,False
212,0.0,-0.14736842105263162,1.0,False
213,0.010000000000218279,-0.1160714285714285,1.0,False
214,0.010000000000218279,-0.11428571428571419,1.0,False
215,0.0,-0.15294117647058827,1.0,False
216,0.0,-0.15625,1.0,False
217,0.009999999999308784,-0.11304347826086944,1.0,False
218,0.010000000000218279,-0.10491803278688519,1.0,False
219,0.0,-0.13750000000000004,1.0,False
220,0.0,-0.15000000000000002,1.0,False
221,0.010000000000218279,-0.11636363636363631,1.0,False
222,0.0,-0.12432432432432436,1.0,False
223,0.009999999999308784,-0.10918367346938757,1.0,False
224,0.010000000000218279,-0.12250000000000005,1.0,False
225,0.0,-0.1140624999999999,1.0,False
226,0.0,-0.16923076923076924,1.0,False
227,0.0,-0.12250000000000005,1.0,False
228,0.010000000000218279,-0.11216216216216203,1.0,False
229,0.009999999999308784,-0.10825688073394475,1.0,False
230,0.0,-0.12432432432432436,1.0,False
231,0.0,-0.12000000000000001,1.0,False
232,0.010000000000218279,-0.11153846153846139,1.0,False
233,0.010000000000218279,-0.10697674418604629,1.0,False
234,0.0,-0.12571428571428578,1.0,False
235,0.0,-0.13103448275862073,1.0,False
236,0.0,-0.16000000000000003,1.0,False
237,0.0,-0.11636363636363631,1.0,False
238,0.0,-0.15625,1.0,False
239,0.0,-0.12432432432432436,1.0,False
240,0.010000000000218279,-0.11578947368421046,1.0,False
241,0.0,-0.14736842105263162,1.0,False
242,0.010000000000218279,-0.12432432432432436,1.0,False
243,0.0,-0.11111111111111095,1.0,False
244,0.0,-0.12307692307692314,1.0,False
245,0.0,-0.12307692307692314,1.0,False
246,0.0,-0.10857142857142837,1.0,False
247,0.0,-0.11011235955056163,1.0,False
248,0.010000000000218279,-0.12647058823529417,1.0,False
249,0.0,-0.11304347826086944,1.0,False
250,0.0,-0.15625,1.0,False
251,0.0,-0.14500000000000002,1.0,False
252,0.0,-0.13333333333333336,1.0,False
253,0.0,-0.11168831168831155,1.0,False
254,0.0,-0.19,1.0,False
255,0.020000000000436557,-0.10296052631579,1.0,False
256,0.009999999999308784,-0.12000000000000001,1.0,False
257,0.0,-0.16000000000000003,1.0,False
258,0.0,-0.12093023255813956,1.0,False
259,0.0,-0.11428571428571419,1.0,False
260,0.010000000000218279,-0.12903225806451618,1.0,False
261,0.0,-0.11267605633802805,1.0,False
262,0.010000000000218279,-0.12142857142857147,1.0,False
263,0.0,-0.11551724137931027,1.0,False
264,0.0,-0.16000000000000003,1.0,False
265,0.0,-0.12812500000000004,1.0,False
266,0.010000000000218279,-0.1104651162790696,1.0,False
267,0.010000000000218279,-0.11184210526315776,1.0,False
268,0.0,-0.12500000000000006,1.0,False
269,0.0,-0.13000000000000003,1.0,False
270,0.0,-0.11636363636363631,1.0,False
271,0.0,-0.12432432432432436,1.0,False
272,0.0,-0.11551724137931027,1.0,False
273,0.0,-0.11011235955056163,1.0,False
274,0.010000000000218279,-0.11666666666666661,1.0,False
275,0.010000000000218279,-0.11084337349397574,1.0,False
276,0.0,-0.12093023255813956,1.0,False
277,0.009999999999308784,-0.10967741935483853,1.0,False
278,0.010000000000218279,-0.12500000000000006,1.0,False
279,0.0,-0.16428571428571428,1.0,False
280,0.0,-0.12142857142857147,1.0,False
281,0.010000000000218279,-0.10756302521008382,1.0,False
282,0.0,-0.11384615384615374,1.0,False
283,0.009999999999308784,-0.13913043478260873,1.0,False
284,0.010000000000218279,-0.10803571428571408,1.0,False
285,0.0,-0.13461538461538464,1.0,False
286,0.0,-0.15625,1.0,False
287,0.010000000000218279,-0.12307692307692314,1.0,False
288,0.010000000000218279,-0.10681818181818159,1.0,False
289,0.009999999999308784,-0.11956521739130435,1.0,False
290,0.0,-0.12727272727272732,1.0,False
291,0.010000000000218279,-0.11956521739130435,1.0,False
292,0.0,-0.1090909090909089,1.0,False
293,0.0,-0.11363636363636354,1.0,False
294,0.010000000000218279,-0.13600000000000004,1.0,False
295,0.0,-0.11525423728813551,1.0,False
296,0.010000000000218279,-0.10789473684210506,1.0,False
297,0.019999999999527063,-0.1160714285714285,1.0,False
298,0.0,-0.14500000000000002,1.0,False
299,0.0,-0.13333333333333336,1.0,False
300,0.010000000000218279,-0.11799999999999997,1.0,False
301,0.0,-0.15294117647058827,1.0,False
302,0.010000000000218279,-0.10891089108910872,1.0,False
303,0.009999999999308784,-0.11451612903225797,1.0,False
304,0.0,-0.13333333333333336,1.0,False
305,0.010000000000218279,-0.11323529411764695,1.0,False
306,0.0,-0.14500000000000002,1.0,False
307,0.010000000000218279,-0.11267605633802805,1.0,False
308,0.0,-0.11698113207547164,1.0,False
309,0.0,-0.16000000000000003,1.0,False
310,0.0,-0.1160714285714285,1.0,False
311,0.0,-0.10999999999999982,1.0,False
312,0.010000000000218279,-0.19999999999999998,1.0,False
313,0.0,-0.12571428571428578,1.0,False
314,0.010000000000218279,-0.12093023255813956,1.0,False
315,0.0,-0.12250000000000005,1.0,False
316,0.0,-0.13913043478260873,1.0,False
317,0.0,-0.13913043478260873,1.0,False
318,0.009999999999308784,-0.11199999999999986,1.0,False
319,0.0,-0.16000000000000003,1.0,False
320,0.0,-0.13103448275862073,1.0,False
321,0.010000000000218279,-0.11428571428571419,1.0,False
322,0.0,-0.12250000000000005,1.0,False
323,0.0,-0.13333333333333336,1.0,False
324,0.010000000000218279,-0.10818181818181798,1.0,False
325,0.009999999999308784,-0.10957446808510621,1.0,False
326,0.0,-0.12045454545454547,1.0,False
327,0.010000000000218279,-0.18181818181818182,1.0,False
328,0.0,-0.11451612903225797,1.0,False
329,0.010000000000218279,-0.17499999999999996,1.0,False
330,0.0,-0.13000000000000003,1.0,False
331,0.010000000000218279,-0.11184210526315776,1.0,False
332,0.0,-0.12812500000000004,1.0,False
333,0.0,-0.2285714285714286,1.0,False
334,0.0,-0.13103448275862073,1.0,False
335,0.0,-0.11525423728813551,1.0,False
336,0.0,-0.10891089108910872,1.0,False
337,0.0,-0.10989010989010971,1.0,False
338,0.010000000000218279,-0.11666666666666661,1.0,False
339,0.0,-0.15625,1.0,False
340,0.010000000000218279,-0.10652173913043454,1.0,False
341,0.0,-0.11499999999999992,1.0,False
342,0.010000000000218279,-0.12432432432432436,1.0,False
343,0.0,-0.11836734693877549,1.0,False
344,0.010000000000218279,-0.11874999999999998,1.0,False
345,0.0,-0.15000000000000002,1.0,False
346,0.010000000000218279,-0.12195121951219516,1.0,False
347,0.0,-0.12045454545454547,1.0,False
348,0.0,-0.14500000000000002,1.0,False
349,0.0,-0.11914893617021276,1.0,False
350,0.010000000000218279,-0.11730769230769227,1.0,False
351,0.0,-0.11232876712328754,1.0,False
352,0.010000000000218279,-0.12812500000000004,1.0,False
353,0.0,-0.11730769230769227,1.0,False
354,0.0,-0.11475409836065566,1.0,False
355,0.009999999999308784,-0.10782608695652153,1.0,False
356,0.0,-0.14090909090909093,1.0,False
357,0.0,-0.15625,1.0,False
358,0.0,-0.11232876712328754,1.0,False
359,0.0,-0.12903225806451618,1.0,False
360,0.010000000000218279,-0.1104651162790696,1.0,False
361,0.009999999999308784,-0.10841121495327083,1.0,False
