params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.8800000000010186,100,-2.497115384615385,6.769230769230769,-13.375,6.769230769230769,10.03983288046925
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",4.0,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.9200000000000728,100,-2.8999999999999995,6.769230769230769,-13.375,6.769230769230769,10.064054466649731
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.930000000000291,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",42.19999999999891,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",4.480000000001382,100,-3.7057692307692305,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",4.399999999999636,100,-1.8927884615384614,6.769230769230769,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",4.420000000000073,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",4.1599999999998545,100,2.366666666666666,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",4.1299999999992,100,-4.310096153846153,-13.375,-13.375,6.769230769230769,10.02162827278062
