episode,length,time,reward,delta
374,36.0,0.010000000000218279,-233.0,0.0
375,16.0,0.0,-15.0,0.0
376,14.0,0.0,86.0,0.0
377,23.0,0.0,-22.0,0.0
378,12.0,0.0,88.0,0.0
379,12.0,0.0,88.0,0.0
380,12.0,0.0,88.0,0.0
381,12.0,0.010000000000218279,88.0,0.0
382,18.0,0.0,82.0,0.0
383,14.0,0.0,86.0,0.0
384,14.0,0.0,86.0,0.0
385,22.0,0.0,78.0,0.0
386,18.0,0.0,-17.0,0.0
387,12.0,0.0,88.0,0.0
388,12.0,0.00999999999839929,88.0,0.0
389,32.0,0.0,-130.0,0.0
390,24.0,0.0,-23.0,0.0
391,16.0,0.0,84.0,0.0
392,25.0,0.0,-123.0,0.0
393,34.0,0.0,-231.0,0.0
394,14.0,0.0,86.0,0.0
395,16.0,0.0,84.0,0.0
396,12.0,0.0,88.0,0.0
397,21.0,0.0,-20.0,0.0
398,12.0,0.0,88.0,0.0
399,12.0,0.0,88.0,0.0
400,12.0,0.0,88.0,0.0
401,16.0,0.0,84.0,0.0
402,17.0,0.0,-16.0,0.0
403,14.0,0.0,86.0,0.0
404,14.0,0.0,86.0,0.0
405,14.0,0.0,86.0,0.0
406,12.0,0.0,88.0,0.0
407,12.0,0.0,88.0,0.0
408,14.0,0.0,86.0,0.0
409,13.0,0.0,87.0,0.0
410,12.0,0.0,88.0,0.0
411,16.0,0.0,-15.0,0.0
412,27.0,0.010000000000218279,-26.0,0.0
413,16.0,0.0,84.0,0.0
414,12.0,0.0,88.0,0.0
415,19.0,0.0,-18.0,0.0
416,16.0,0.0,84.0,0.0
417,12.0,0.0,88.0,0.0
418,13.0,0.0,87.0,0.0
419,15.0,0.010000000000218279,85.0,0.0
420,12.0,0.0,88.0,0.0
421,12.0,0.0,88.0,0.0
422,17.0,0.0,83.0,0.0
423,12.0,0.0,88.0,0.0
424,12.0,0.0,88.0,0.0
425,12.0,0.0,88.0,0.0
426,14.0,0.010000000000218279,86.0,0.0
427,17.0,0.0,-16.0,0.0
428,12.0,0.0,88.0,0.0
429,12.0,0.0,88.0,0.0
430,14.0,0.0,86.0,0.0
431,14.0,0.0,86.0,0.0
432,12.0,0.0,88.0,0.0
433,12.0,0.0,88.0,0.0
434,14.0,0.010000000000218279,86.0,0.0
435,22.0,0.0,78.0,0.0
436,15.0,0.0,85.0,0.0
437,20.0,0.0,-19.0,0.0
438,13.0,0.0,87.0,0.0
439,14.0,0.0,86.0,0.0
440,22.0,0.00999999999839929,-21.0,0.0
441,12.0,0.0,88.0,0.0
442,15.0,0.0,85.0,0.0
443,12.0,0.0,88.0,0.0
444,12.0,0.0,88.0,0.0
445,14.0,0.0,86.0,0.0
446,15.0,0.0,85.0,0.0
447,45.0,0.010000000000218279,-242.0,0.0
448,14.0,0.0,86.0,0.0
449,16.0,0.0,84.0,0.0
450,12.0,0.0,88.0,0.0
451,12.0,0.0,88.0,0.0
452,12.0,0.0,88.0,0.0
453,42.0,0.010000000000218279,-239.0,0.0
454,18.0,0.0,-17.0,0.0
455,18.0,0.0,-17.0,0.0
456,12.0,0.0,88.0,0.0
457,12.0,0.0,88.0,0.0
458,16.0,0.010000000000218279,84.0,0.0
459,24.0,0.0,-23.0,0.0
460,14.0,0.0,86.0,0.0
461,14.0,0.0,86.0,0.0
462,28.0,0.0,-126.0,0.0
463,12.0,0.0,88.0,0.0
464,12.0,0.010000000000218279,88.0,0.0
465,12.0,0.0,88.0,0.0
466,16.0,0.0,84.0,0.0
467,14.0,0.0,86.0,0.0
468,29.0,0.0,-127.0,0.0
469,24.0,0.0,-23.0,0.0
470,16.0,0.010000000000218279,84.0,0.0
471,31.0,0.0,-129.0,0.0
472,27.0,0.0,-26.0,0.0
473,14.0,0.0,86.0,0.0
474,13.0,0.0,87.0,0.0
475,13.0,0.010000000000218279,-12.0,0.0
476,18.0,0.0,-17.0,0.0
477,12.0,0.0,88.0,0.0
478,19.0,0.0,-18.0,0.0
479,14.0,0.0,86.0,0.0
480,25.0,0.0,-24.0,0.0
481,24.0,0.010000000000218279,-23.0,0.0
482,15.0,0.0,-14.0,0.0
483,14.0,0.0,86.0,0.0
484,12.0,0.0,88.0,0.0
485,14.0,0.0,86.0,0.0
486,14.0,0.0,86.0,0.0
487,15.0,0.0,-14.0,0.0
488,14.0,0.00999999999839929,86.0,0.0
489,12.0,0.0,88.0,0.0
490,16.0,0.0,84.0,0.0
491,17.0,0.0,-16.0,0.0
492,13.0,0.0,87.0,0.0
493,14.0,0.0,86.0,0.0
494,14.0,0.0,86.0,0.0
495,12.0,0.010000000000218279,88.0,0.0
496,14.0,0.0,86.0,0.0
497,13.0,0.0,87.0,0.0
498,13.0,0.0,87.0,0.0
499,12.0,0.0,88.0,0.0
500,21.0,0.0,-20.0,0.0
501,14.0,0.0,86.0,0.0
502,12.0,0.010000000000218279,88.0,0.0
503,14.0,0.0,86.0,0.0
504,14.0,0.0,86.0,0.0
505,24.0,0.0,-221.0,0.0
506,14.0,0.0,86.0,0.0
507,16.0,0.0,84.0,0.0
508,12.0,0.0,88.0,0.0
509,14.0,0.010000000000218279,86.0,0.0
510,12.0,0.0,88.0,0.0
511,12.0,0.0,88.0,0.0
512,24.0,0.0,-23.0,0.0
513,12.0,0.0,88.0,0.0
514,14.0,0.0,86.0,0.0
515,26.0,0.010000000000218279,-124.0,0.0
516,15.0,0.0,-14.0,0.0
517,13.0,0.0,87.0,0.0
518,16.0,0.0,84.0,0.0
519,12.0,0.0,88.0,0.0
520,16.0,0.0,84.0,0.0
521,20.0,0.0,-19.0,0.0
522,14.0,0.010000000000218279,86.0,0.0
523,14.0,0.0,86.0,0.0
524,14.0,0.0,86.0,0.0
525,13.0,0.0,87.0,0.0
526,12.0,0.0,88.0,0.0
527,14.0,0.0,86.0,0.0
528,12.0,0.0,88.0,0.0
529,12.0,0.010000000000218279,88.0,0.0
530,14.0,0.0,86.0,0.0
531,14.0,0.0,86.0,0.0
532,14.0,0.0,86.0,0.0
533,26.0,0.0,-25.0,0.0
534,25.0,0.0,-24.0,0.0
535,12.0,0.010000000000218279,88.0,0.0
536,12.0,0.0,88.0,0.0
537,14.0,0.0,86.0,0.0
538,12.0,0.0,88.0,0.0
539,12.0,0.0,88.0,0.0
540,14.0,0.0,86.0,0.0
541,12.0,0.0,88.0,0.0
542,12.0,0.0,88.0,0.0
543,12.0,0.0,88.0,0.0
544,14.0,0.0,86.0,0.0
545,15.0,0.0,85.0,0.0
546,12.0,0.0,88.0,0.0
547,21.0,0.0,-20.0,0.0
548,14.0,0.0,86.0,0.0
549,12.0,0.0,88.0,0.0
550,14.0,0.0,86.0,0.0
551,12.0,0.0,88.0,0.0
552,12.0,0.0,88.0,0.0
553,39.0,0.0,-137.0,0.0
554,14.0,0.0,86.0,0.0
555,12.0,0.0,88.0,0.0
556,14.0,0.0,86.0,0.0
557,12.0,0.0,88.0,0.0
558,14.0,0.0,86.0,0.0
559,18.0,0.0,82.0,0.0
560,12.0,0.0,88.0,0.0
561,12.0,0.0,88.0,0.0
562,12.0,0.0,88.0,0.0
563,12.0,0.010000000000218279,88.0,0.0
564,22.0,0.0,-21.0,0.0
565,22.0,0.0,-21.0,0.0
566,13.0,0.0,-12.0,0.0
567,12.0,0.0,88.0,0.0
568,21.0,0.0,-20.0,0.0
569,12.0,0.010000000000218279,88.0,0.0
570,14.0,0.0,86.0,0.0
571,14.0,0.0,86.0,0.0
572,12.0,0.0,88.0,0.0
573,14.0,0.0,86.0,0.0
574,12.0,0.0,88.0,0.0
575,14.0,0.0,86.0,0.0
576,13.0,0.0,87.0,0.0
577,21.0,0.0,-20.0,0.0
578,14.0,0.0,86.0,0.0
579,14.0,0.0,86.0,0.0
580,12.0,0.0,88.0,0.0
581,12.0,0.0,88.0,0.0
582,27.0,0.0,-26.0,0.0
583,14.0,0.010000000000218279,86.0,0.0
584,12.0,0.0,88.0,0.0
585,14.0,0.0,86.0,0.0
586,24.0,0.0,-23.0,0.0
587,12.0,0.0,88.0,0.0
588,12.0,0.0,88.0,0.0
